2025-06-30 18:53:52,463 | INFO     | database.schema_creator | Created 4/4 essential tables
2025-06-30 18:53:52,463 | INFO     | nexus_trading.main   | Essential agent tables created/verified
2025-06-30 18:53:52,494 | INFO     | database.schema_creator | Basic system configuration initialized
2025-06-30 18:53:52,494 | INFO     | nexus_trading.main   | Basic system configuration initialized
2025-06-30 18:53:52,532 | INFO     | nexus_trading.main   | All essential tables verified
2025-06-30 18:53:52,533 | INFO     | nexus_trading.main   | Phase Schema Creation: PASSED
2025-06-30 18:53:52,533 | INFO     | nexus_trading.main   | Integration Phase: Data Access Test
2025-06-30 18:53:52,534 | INFO     | nexus_trading.main   | Found 5 symbols in stocks_categories_table
2025-06-30 18:53:52,534 | INFO     | nexus_trading.main   | Sample symbol: RELIANCE - Reliance Industries Ltd
2025-06-30 18:53:52,536 | INFO     | nexus_trading.main   | Found 1 historical data quarters
2025-06-30 18:53:52,536 | INFO     | nexus_trading.main   | Phase Data Access Test: PASSED
2025-06-30 18:53:52,536 | INFO     | nexus_trading.main   | Integration Phase: Technical Analysis
2025-06-30 18:53:52,547 | WARNING  | agents.technical_agent | pandas_ta not available, using manual calculations
2025-06-30 18:53:52,549 | INFO     | nexus_trading.main   | Testing technical analysis with symbols: ['RELIANCE', 'HDFCBANK', 'ICICIBANK']
2025-06-30 18:53:52,554 | WARNING  | agents.technical_agent | Insufficient data for RELIANCE: 4 records
2025-06-30 18:53:52,555 | WARNING  | nexus_trading.main   | Technical analysis failed for RELIANCE: insufficient_data
2025-06-30 18:53:52,557 | WARNING  | agents.technical_agent | No historical data for HDFCBANK, using synthetic data for testing
2025-06-30 18:53:52,572 | ERROR    | database.enhanced_database_manager | Failed to store technical indicators: column "close_price" of relation "agent_technical_indicators" does not exist
LINE 3:                     symbol, date, timeframe, close_price, 
                                                     ^

2025-06-30 18:53:52,572 | INFO     | nexus_trading.main   | Technical analysis successful for HDFCBANK
2025-06-30 18:53:52,572 | INFO     | nexus_trading.main   |   - Technical Score: 0.55
2025-06-30 18:53:52,572 | INFO     | nexus_trading.main   |   - Buy Signal: False
2025-06-30 18:53:52,572 | INFO     | nexus_trading.main   |   - Signal Strength: weak
2025-06-30 18:53:52,574 | WARNING  | agents.technical_agent | No historical data for ICICIBANK, using synthetic data for testing
2025-06-30 18:53:52,582 | ERROR    | database.enhanced_database_manager | Failed to store technical indicators: column "close_price" of relation "agent_technical_indicators" does not exist
LINE 3:                     symbol, date, timeframe, close_price, 
                                                     ^

2025-06-30 18:53:52,582 | INFO     | nexus_trading.main   | Technical analysis successful for ICICIBANK
2025-06-30 18:53:52,583 | INFO     | nexus_trading.main   |   - Technical Score: 0.518
2025-06-30 18:53:52,583 | INFO     | nexus_trading.main   |   - Buy Signal: False
2025-06-30 18:53:52,583 | INFO     | nexus_trading.main   |   - Signal Strength: weak
2025-06-30 18:53:52,583 | INFO     | nexus_trading.main   | Technical analysis success rate: 66.7% (2/3)
2025-06-30 18:53:52,583 | INFO     | nexus_trading.main   | Phase Technical Analysis: PASSED
2025-06-30 18:53:52,583 | INFO     | nexus_trading.main   | Integration Phase: System Health Check
2025-06-30 18:53:52,585 | INFO     | nexus_trading.main   | Final system health: {'total_symbols': 12, 'available_quarters': 1}
2025-06-30 18:53:52,585 | INFO     | nexus_trading.main   | Phase System Health Check: PASSED
2025-06-30 18:53:52,586 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-06-30 18:53:52,586 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 19:41:00,953 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 19:41:00,953 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-06-30 19:41:00,953 | INFO     | nexus_trading.main   | Mode: demo
2025-06-30 19:41:00,953 | INFO     | nexus_trading.main   | Symbol: RELIANCE
2025-06-30 19:41:00,953 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 19:41:00,953 | INFO     | nexus_trading.main   | Starting DEMO mode for symbol: RELIANCE
2025-06-30 19:41:01,730 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-06-30 19:41:01,730 | INFO     | nexus_trading.main   | Loading fundamental data for RELIANCE...
2025-06-30 19:41:01,736 | INFO     | nexus_trading.main   | Loading historical data for RELIANCE...
2025-06-30 19:41:01,745 | INFO     | nexus_trading.main   | Found 4 historical records
2025-06-30 19:41:01,747 | INFO     | nexus_trading.main   | Date range: 2025-06-30 18:09:50.322704 to 2025-06-30 18:53:00.893824
2025-06-30 19:41:01,747 | INFO     | nexus_trading.main   | Testing data pipeline...
2025-06-30 19:41:01,762 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q2
2025-06-30 19:41:01,764 | INFO     | utils.data_updater   | Successfully updated sample data for RELIANCE
2025-06-30 19:41:01,764 | INFO     | nexus_trading.main   | Data pipeline test: {'total_symbols': 1, 'successful_updates': 1, 'failed_updates': 0, 'errors': []}
2025-06-30 19:41:01,764 | INFO     | nexus_trading.main   | Testing technical analysis...
2025-06-30 19:41:01,967 | WARNING  | agents.technical_agent | pandas_ta not available, using manual calculations
2025-06-30 19:41:01,970 | WARNING  | agents.technical_agent | Insufficient data for RELIANCE: 5 records, supplementing with synthetic data
2025-06-30 19:41:01,974 | INFO     | agents.technical_agent | Supplemented RELIANCE data: now 55 records
2025-06-30 19:41:01,990 | ERROR    | nexus_trading.main   | Demo mode failed: name 'fundamental_data' is not defined
2025-06-30 19:41:01,994 | ERROR    | nexus_trading.main   | Traceback (most recent call last):
  File "C:\Agents_Intraday\nexus_trading\main.py", line 293, in _demo_mode
    self._display_technical_analysis(symbol, analysis)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File "C:\Agents_Intraday\nexus_trading\main.py", line 575, in _display_technical_analysis
    value = fundamental_data.get(field_name, 'N/A')
            ^^^^^^^^^^^^^^^^
NameError: name 'fundamental_data' is not defined

2025-06-30 19:41:01,994 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-06-30 19:41:01,994 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 21:16:03,659 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 21:16:03,660 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-06-30 21:16:03,661 | INFO     | nexus_trading.main   | Mode: test
2025-06-30 21:16:03,661 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 21:16:03,661 | INFO     | nexus_trading.main   | Starting TEST mode...
2025-06-30 21:16:03,662 | INFO     | nexus_trading.main   | Test 1: Environment validation...
2025-06-30 21:16:04,566 | INFO     | nexus_trading.main   | pandas: 2.3.0
2025-06-30 21:16:04,567 | INFO     | nexus_trading.main   | numpy: 2.3.1
2025-06-30 21:16:04,919 | WARNING  | nexus_trading.main   | pandas_ta not available - will use fallback calculations
2025-06-30 21:16:04,919 | INFO     | nexus_trading.main   | Test 2: Database connection...
2025-06-30 21:16:05,131 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-06-30 21:16:05,165 | INFO     | nexus_trading.main   | Database connection successful
2025-06-30 21:16:05,165 | INFO     | nexus_trading.main   | System health: {'total_symbols': 12, 'available_quarters': 1}
2025-06-30 21:16:05,166 | INFO     | nexus_trading.main   | Test 3: Existing tables access...
2025-06-30 21:16:05,168 | INFO     | nexus_trading.main   | Found 5 symbols in stocks_categories_table
2025-06-30 21:16:05,169 | INFO     | nexus_trading.main   | Sample symbol: RELIANCE - Reliance Industries Ltd
2025-06-30 21:16:05,171 | INFO     | nexus_trading.main   | Found 1 historical data quarters
2025-06-30 21:16:05,171 | INFO     | nexus_trading.main   | Test 4: Agent tables...
2025-06-30 21:16:05,470 | INFO     | database.schema_creator | Created 4/4 essential tables
2025-06-30 21:16:05,471 | INFO     | nexus_trading.main   | Essential agent tables created/verified
2025-06-30 21:16:05,567 | INFO     | database.schema_creator | Basic system configuration initialized
2025-06-30 21:16:05,567 | INFO     | nexus_trading.main   | Basic system configuration initialized
2025-06-30 21:16:05,633 | INFO     | nexus_trading.main   | All essential tables verified
2025-06-30 21:16:05,633 | INFO     | nexus_trading.main   | Test 5: Data pipeline...
2025-06-30 21:16:05,654 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q2
2025-06-30 21:16:05,658 | INFO     | utils.data_updater   | Successfully updated sample data for RELIANCE
2025-06-30 21:16:05,660 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q2
2025-06-30 21:16:05,661 | INFO     | utils.data_updater   | Successfully updated sample data for TCS
2025-06-30 21:16:05,662 | INFO     | nexus_trading.main   | Data pipeline test successful: 2 symbols updated
2025-06-30 21:16:05,662 | INFO     | nexus_trading.main   | Test 6: Technical analysis...
2025-06-30 21:16:05,686 | WARNING  | agents.technical_agent | pandas_ta not available, using manual calculations
2025-06-30 21:16:05,689 | INFO     | nexus_trading.main   | Testing signal generation with symbols: ['RELIANCE', 'HDFCBANK', 'ICICIBANK']
2025-06-30 21:16:05,695 | WARNING  | agents.technical_agent | Insufficient data for RELIANCE: 6 records, supplementing with synthetic data
2025-06-30 21:16:05,704 | INFO     | agents.technical_agent | Supplemented RELIANCE data: now 56 records
2025-06-30 21:16:05,733 | INFO     | agents.technical_agent | No historical data for HDFCBANK, using synthetic data for testing
2025-06-30 21:16:05,758 | INFO     | agents.technical_agent | No historical data for ICICIBANK, using synthetic data for testing
2025-06-30 21:16:05,780 | WARNING  | nexus_trading.main   | No signals generated
2025-06-30 21:16:05,782 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-06-30 21:16:05,782 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 21:17:38,939 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 21:17:38,940 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-06-30 21:17:38,940 | INFO     | nexus_trading.main   | Mode: test
2025-06-30 21:17:38,940 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 21:17:38,940 | INFO     | nexus_trading.main   | Starting TEST mode...
2025-06-30 21:17:38,941 | INFO     | nexus_trading.main   | Test 1: Environment validation...
2025-06-30 21:17:39,857 | INFO     | nexus_trading.main   | pandas: 2.3.0
2025-06-30 21:17:39,858 | INFO     | nexus_trading.main   | numpy: 2.3.1
2025-06-30 21:17:40,234 | WARNING  | nexus_trading.main   | pandas_ta not available - will use fallback calculations
2025-06-30 21:17:40,234 | INFO     | nexus_trading.main   | Test 2: Database connection...
